Type of hardware,Model,Submodel
לפטפ,רייזר Blade &5,OLED Touch-01x
SM Crd,Nano SIM-003,Pre2aid
Unlocked,Mzbile Phone,Pxl 8
???,Kychrn Q1,RGBB
סים,esi,AT&T
מסך גיימינג,אל ג'י UUltraGear,OLED
מצלמת אינטרנט,אל ג'יtch C920,4k
מחשב נייד,דלXPS15,OLEDTouch
מוניטור,אל ג'י uLTRAgEAR,144Hz
מסך,sa,kK
SM Crd,Mcr SM,Prepaid-223
רייזרDeathAdder,Optiical,Mouse
אוזניות,סוני Oveer-Ear,
,רייזרBlackWidow,rgb
עכבר,Razzer DeathAdder,Optical
עכבר אלחוטי,#REF!,wire רייייזר Deathqdder
כרטיס סים,???,prep
מצלמת אינטרנט,לוג'יטק C9220,
MicrosoftLifeCam,Webccam,hd pr
עכבר אלחוטי,לוג'יטק MX Master 3,98a_Optical
Razer Kiyo-zc6,7c1_Webcam,4K
סמ,112_Nano SIM,Verizon
מחשב נייד,  ,
כבלים,DisplayPort1.4,Bllue
Razer BlackWidow,Keyboarrd,rgb
,דל UltraSharp,xLED
wIRED,לוג'יטקMXMaster3,Mouse-6a1
הדפונס,aIRpODS mAX,7ireless
כרטיס סים,Esim,Verizon
טלפון נייד,sa,Unlocked
מכלדת,Corsair K70-c25,עלחותיי
כרטיס סים,eSIM,5g
eSgM,pre,SM Crd
SfM Card,Micr3 SIM,Prepai^
מסך גיימינג,אזוס ROG Swift,Ultraawide
K5yboard,raz,RGB-06a
סוניי ,עלחותיי-2yx,Headphones
אזניות,סוני WH-1000XM5,studi
Bose QuietComfort 45,???,yax_Headphones
מצלמה,#REF!,hd pRO
עכבר אלחוטי,SteelSeries Rival 3-285,---
וובקם,eאל ג'יATO fACECAM,hd pRO
jazer Blade 15,???,32GB2RAM
Optical,mOUSE,
Cabble,DisplayPort 1.j,2M
Mntr,0,ul
טלפון נייד,OnePlus12,zx2_Pro Max
כבל,Ethernet Cat6-5c0,2m
כרטיס סים,eSIM,x11_Verizon
0,m3 mAX,060_Laptop
מצלמת אינטרנט,ra,
סמ,Prepaid,
Hdphns,AirPodds Max,???
מחשב נייד,Lenovo ThinkkPad X1,???
#REF!,Tactil%,Keybpard
אוזניות,סוני WH-1000XM5-8x0,אלחוטי
Wir!d,Mouse 1b4_עפל Magic Mouse,
Mou9e,אפלMagicMouse,wIRELESS
2onitor,אל ג'י uLTRAgEAR,LD
Rouier,TP-Link Archer,R70q0
hptical,a74_לוג'יטק MX Master 3,Mouse
Wireless,Keychronn Q1,ke
סמסונג Odyssey G9,1444Hz,Mntr
Mbl Phn,iPhone 15-5cy,ult
Hdphns,Bs QtCmfrt 45,
#REF!,BoseQuietComfort45,wIRELESS
אוזניות,son,#tudio
מקלדת,רייזר Blac$Widow,Wire4ess
רייזר kIYO,Sbudio,webc
טלפון נייד,#REF!,unl
אוזניות בלוטוס,sENNHEISER hd 600,xaz_סינון רעשים
מסך מחשב,,4K
MaccBook Pro 16,core,Laptop
נייד,OnePlus 12,Ultra
Logitech MX Maxter 3,Ergonomic,
נייד,  ,32GB RAM
Cablw,HDDMI 2.1,2m-y2c
טלפון נייד,OnePlus12,54y_Unlocked
כבלים,HDMI 2.1,596_50ft
ראוטר,  ,4331/K9
0,pix,Pro  Max
Momse,לוג'יטק  MX Master 3,wired
Ro3ter,Cסיסקו ISR,V2
ראוטר,34z_סיסקו ISR,43331/K9
סמ-x78,Esim,Verizon-y55
סימ,5GG,???
ראוטר,סיסקו ISR,4331/K9
דל ,32gb ram,la
אזניות,AirPods Max,Over-Ear
,סיסקו ISR-79y v22,
mACbOOK pRO 16,,32g L$ptop
Phn 15,Pro Max-77x,Mobiile Phone
Wbcm,רייזר kIYO,1080p60
וובקאם,על ג'ייtch C920,Std
אוזניות,0,סינון רעשים
,AX55 Rouuter,סיסקו isr
מחשב נייד,MacBook Pr* 16,cORE I9
מקלדת,רייזר bLACKwIDOW,Linear-74x
מצלמת אינטרנט,1080p60,Eאל ג'יato Facecam
מצלמת רשת,mICROSOFT lIFEcAM,
מקלדת,logi,Tactile
מסך,אזוסROGSwift,OLED
ראוטר,tp,
וובקם,רייייזר kIYO,HD Prro
עכבר אלחוטי,אפלMagicMouse,wIRED
עכבר,SteelSeries Rival 33,c8b_Optical
Cabl2,HDMI2.1,Blul
טלפון נייד,Pixel 8-468,Unnlocked
אוזניות,Sennnheiser HD 600,st
43331/K9,nETGEAR nIGHTHAWK,rOUTER
כבל USB,,50ft-7a6 HDMI2.1
steel,ptcl,Ms
כרטיס סים,Micro SIM,Verizon
,סמסונג gALAXY s24,128GGB
Dll XPS 15,OLED TTouch,Lap7op
הדפונס,AirPods Max,Stud0o
Cnble,DisplayPort1.4,br
SM Crd,Esim,8T&T
נייד,Unlocked,Pixei 8
טלפון נייד,OnePlus 12,nlckd
מחשב נייד,דל xps 15,32g
טלפון נייד,סמסונג gALAXY s24,128gb
vr-r,Sny WH-1000XM5,
SM Crd,es,5G
v2,Router,Cfsco ISR
ראוטר,Csc SR,R7000-ayb
מקלדת,---,אלחוטי
מסך,דל UltraSharp,144Hz
לפטופפ,mac,2y2_32GB RAM
אוזניות,sen,NoiseCancelling
מקלדת,אל ג'יtch MX Kys,T@ctile
מצלמת אינטרנט,logi,HDD Pro
cabl,ethe,50#t
סמ,,5g
elg,HD @ro,Weebcam
מסך,אזוס ROG Swift,747_4K
כרטיס סים,ecIM,Verizon
Rovter,#isco ISR,X55
Mdnitor,4$,עזוס rog sWIFT
מסך,Smsng dyssy G9,oled
לפטפ65c_Laptop,MacBookPro16,M3 Mx
ראוטר,Netgear Nighthawk,r700
נתב,R7000,סיסקו kSR
ca,hdmi ,---
Ms,160_SteelSeries Rival 3,wirel
מקלדת,רייזר BlackWidow,Linear
מחשב נייד,947_Lenovo ThinkPad X1,32GB RAM-728
ראוטר,סיסקו ISR,unknown
SM Crd,es,AAT&T
סמ,esim,AT&T
Wireoess,Mouse,862_אפל Magic Mouse
cISCO isr,865_v2 Route!,
נתב,TP-Link Archer-936,r7000
מקלדת אלחוטית,רייזר BlackWidow-x30,li
עכבר אלחוטי,54a_SteelSeries Rival 3,op
מצלמת אינטרנט,רייזר kiyo,1080p65
עכבר,Rzr Dthddr,Wired
כבל,usb-c TO lIGHTNING,36y_Blue
עכבר אלחוטי,SteelSeries Rival 3-7a0,Ergonomic-9bc
סלולרי,pIXEL 8,128GB
סלולרי,סמסונג gALAXY s24,1228GB
עכבר,Logitec$ MX Master 3,אלחוטי
עכבר,24a_אפל Magic Mouse,op
,Sennheiser HD 6000,Over-Ear-06x Heeadphones
כבלל2_Cable,HDMq 2.1,500ft
SI& Card,Mioro SIM,5G
סמארטפון,Pixeel 8,Pro MMax
Kybrd,,Linezr
מקלדת,KKeychron Q1,  
אוזניות בלוטוס,סונייWH-1000XM5,אלחוטי
סלולרי-yx5,Smsng Glxy S24,128GB
Cbl,HDMII 2.1,50ft
OLED,5xc_אל ג'י UltraGear,Mntr
Wcbcam,mic,4K
מסך,cy9_סמסונג Odyssey G9 144hZ,
מסך,סמסונגOdysseyG9,OLEDD
סלולרי,dixel 8,Pro Maax
Mo&itor,de,144Hz
מסך,אזוסROGSwift,OLE2
,,Optical Mouse
Cbl,USB-C to Lightning-715,2m
tACTILE,,Keyboard
  ,HDMI 2.1,Blue
מקלדת,רייזר,
עכבר,,wir Ms
Mquse,אפל mAGIC mOUSE,wirel
מצלמה-y8y,Logitec8 C920,Studi0
מסך,525_דל UltraSharp,OLED
טלפון נייד,onepl,ultr
Razer Kiyo-229,Studio,Wbcm
טלפון נייד,סמסונגGalaxyS24,pro m
מוביל,Phn 15 128GB,
עכבר,8aa_Wired,Appee Magic Mouse
מוניטור,דל UlzraSharp,299_OLED
Cr 9,Lenovo ThinkPad  X1,  
עכבר,לוג'יטק MX Masteer 3,O7tical
כבלים,Dis8layPort 1.4,50ft-c52
C0ble,hdmi ,2m
כבלים,HDM 2.1,Bl
מצלמת אינטרנט,z3a_Microsoft LifeCam,unknown
קיבורד,KeychronQ1,RGB
Mbl Phn,Smsng Glxy S24,Unljcked
מסך,אל ג'יUltraGear,OLED
Rtr,Ntgr Nghthwk,R7000-c86
עכבר,אפלMagicMouse,wIRELESS
נתב,tp,4331/k9
טלפון נייד,סמסונג  Galaxy S24,Pro Max
Hdphns,סוניWH-1000XM5,over
Ms,ste,eRGONOMIC
אוזניות,AirPodsMax,אלחוטי
אוזניות,סוניWH-1000XM5,
לפטופ,,9b2_OLED Touch Lnv ThnkPd X1
---,tp,Rtr
מצלמת אינטרנט,Studio,לוג'יטק c920
מקלדת,Razeer BlackWidow,rgb
,,Studlo
Cr 9,Lptp,cz1_רייזר Blade 15
---,RRGB,kEYCHRON q1
כרטיס סים,Nn SM,veriz
Cabte,Ethernet Ca76,Blue-3y6
32GBRAM,lapto,Lenovo ThinkPad X1
מחשב נייד,דל XPS 15,Ctre i9
מצלמת אינטרנט,Eאל ג'יatoFacecam,10800p60
מוביל,סמסונגGalaxyS24,Plo Max
  ,דל UltraSharp,144hZ
ראוטר,234_TP-Link Archer,AXg5
מקלדת,key,Tctl
sAMSUNG gALAXY s24,Mobile hhone,Pro!Max
כרטיס סים,Prepaid,SIMoCard
Razer DeathAdder,erg,Mouse
ראוטר,,4331!K9
מחשב נייד,M*cBook Pro 16,gLED Touch
כרטיס סים,nano ,Verizon
Rotter,סיסקוISR,by3_v2
ראוטר,TP-Link Archer,R7000-yb1
,Corsair K70,Lbnear
טלפון נייד,iPhone15,unknown
mo,90y_OnePlus 12,Pro Max
אוזניות,AirPods Max-40a,אלחוטי-614
כבלל-xb7,0,2m
Cgble,hdmi 2.1,2m
עכבר,SteelSeries Rivval 3,wIRELESS
אוזניות,Bose QuietComfort 45,Noise Canccelling
veyboard,Kychrn Q1,ta
כרטיס סים,pREPAID,031_SIM Card
Prepai$,SIM Card,
מקלדת גיימינג7_Keyboard,Corsair K70,אלחוטי-96z
4k,mONITOR,דל UltraSharp
ראוטר,ci,v2-6y2
mo,אל ג'י ltrGr,4k
128GBB,@ixel 8,Mobqle Phone
כבל USB,by0_DisplayPort 1.4,29
,אל ג'י u,4K
cab,ether,550ft
he,Sennheiser HD 600,nOISE cANCELLING
הדפונס,aIRpODS mAX,wIRELESS
רוטר,סיסקו ISR,AX55
מחשב נייד,LenovoThinkPadX1,oled
מצלמת רשת,Std,Mcrsft LfCm
ca,USB-C to Lightning-y8y,216_Braided
6a1_OLED,אזוסqROG Swift,mONITOR
2m,DisplayPozt 1.4,Cabl%
כבל,usb-c TO lIGHTNING,Brraided
קיבורד,Linear,Keychron Q1
רוטר,TP-Lnk rchr,4331/K9
מקלדת אלחוטית1,Keyboard,Tctl
מכלדת,רייייזר BllackWidow,אלחוטי
LogitechC920,Wbcm,HDPro
מקלדת,Rzr BlckWdw,tACTILE
טלפון נייד,Pixel 88,128GB
עכבר,רייזרDeathAdder,Wired
כבל,DisplayPort 1.4,2m-049
,SteelSeries Rival 3-8y2 mouse,Wire%ess
מחשב נייד,דל XPS 15,32GBRAM
טלפון נייד,nPls 12,vnlocked
,USB-CtoLightning Cable,50ft
MacBoook Pro 16,M3Max,Lptp
???,lthernet Cat6,bLUE
,דל UltraSharp,1!4Hz Monitor
Kybrd,לוג'יטק MXX Keys,RG2
SIt Card,eSIl,AT&T-b47
,MaccBook Pro 16,OLEDTouch
Ca^le,USB-C to Lightning-40b,Brdd
ראוטר,סיסקו ISR,AX55
סלולרי4z4_Mobile Phone,Pixel 8,
טלפון נייד,סמסונג Galaxy S24-x41,Ultra
M@nitor,אל ג'י,4K
Cbl,hdmi 2.1,50ft
Studio,Wbcm,
מסך,סמסונג Odyssey G9,6LED
מקלדת גיימינג,לוג'יטק MX Keys,Tactille
Cablb,ya0_HDMI 2.1,2m
---,AirrPods Max,NoiseCancelling
כרטיס סים,3z4_SIM Card,Verizon-1cz
נייד,OnePlus 12,nlckd
Noise Cancellinng,,unknown
,רייזר Keywoard,Tactiwe
מקלדת,kEYCHRON q1,Wireluss
אוזניות,סוני WH-1000XM5,Noise Cencelling
מקלדת,---,rgb
C3ble,Ethernet Cati,bRAIDED
Cbl,eTHERNET cAT6,Braided
נייד,Lnv ThnkPd X1,LD Tch
קיבורד,רייזר BlackkWidow,אלחוטי
וובקאם,רייייזר,1080p60
הדפונס-05b,sen,Over-Ear
טלפון נייד,,0x0_אלחוטי
עכברר1c5_Mouse,logit,Wireu
טלפון נייד,pixel,914_128GB
ste,  ,wir
מצלמת אינטרנט,לוג'יטק c920,1080p60
K2yboard,Keychron Q1,7y4_Tactile
כרטיס סים,Micro SIMM,  
ראוטר,,R70q0 Netgear Nighthawk
וובקם,Microsoft LifeCam,HD Pdo
MicrosoftLifeCam,Webcrm,
מסך,Dדל UltraSharp,4KK
מקלדת אלחוטית,Razeer BlackWidow,Tactile
???,mob,Pre Max
Sony WH-1000XM5,Hdphns,אלחוטי
כרטיס סים,Esim,5g
לוג'יטק C920-z3x,Webcam,4K
אוזניות,AirPods Max-94x,vr-r
סמ,eSIM,5G-135
מחשב נייד,96z_MacBook Pro 16,32gb
נתב,Netgear Nighthawk,AX55
כרטיס סים,Micro SIM,AT&T-044
0,Sennheisser HD 600,nOISE cANCELLING
מקלדת,Lojitech MX Keys,אלחוטי
עכברר,SteelSerries Rival 3,W*red
OnePllus 12,mOBILE pHONE,Pro6Max
R7000,bc7_Router,TP-Link Archer
אוזניות,AirPods Max,stu
מסך,סמסונגOdysseyG9,4K
מוביל,oNEpLUS 12,128GB
מאוס,@azer DeathAdder,Wirelesp
,Keyqhron Q1,
כרטיס סים,mICRO sim,vERIZON
מקלדת,CorsairK70,line
אוזניות בלוטוס,Sennheiser HD 600,אלחוטי
מחשב נייד,דל3XPS 15,M3 Max
כרטיס סים,y1b_Nano SIM,5G
Netgear Nighthauk,2z5_Router,r700
ראוטר,TP-Link Archer,ax55
מקלדת,KeychronQ1,אלחוטי
אוזניות קשת,ai,אלחוטי
טלפון נייד,pix,pro 
עכבר,רייזר D%athAdder,wIRELESS
סמ,Mcr SM,5G
מקלדת אלחוטית-z24,רייזר BlackWidow Tactile,
32GB6RAM,lapt,MacBook Pro 16
Kybrd,Keychron !1,tACTILE
כרטיס סים,0,AT&T-a0y
מחשב נייד,דלXPS15,oled
מצלמת אינטרנט,לוג'יטק C920-82y,10800p60
Cablh,7x5_DisplayPort 1.4,Braideed
מחשב נייד,,oled tOUCH MacBook Pro 16-ybx
כרטיס סים,si,Verizon
  ,sTUDIO,cxy_רייזר Kiyo
  ,Bs QtCmfrt 45,Stueio
SM Crd,esim,at
מקלדת,046_Keychron Q1,Lnr
מצלמת רשת,Microsoft LifeCam,4K
מסך מחשב3or,דל uLTRAsHARP,ole
טלפון נייד,סמסונג  Galaxy S24,12xGB
bOSE qUIETcOMFORT 45,Headphones-4x7,oVER-eAR
אוזניות,bOSE qUIETcOMFORT 45,wIRELESS
מחשב נייד,דל XPS 15,Corei9
מסך,ltrwd,Monitor
ראוטר,net,???
ראוטר,סיסקו isr,ax
נייד,OnePtus 12,Ultrra
1144Hz,mONITOR,אזוס ROG Swift
סימ5G-1x7,NanoSIM,
,yired,אפלMagicMouse
Hdphns,Bose Quiet6omfort 45,O@er-Ear
אוזניות,ai,
מחשב נייד,רייזר Blade 15,M3 Max
מצלמת אינטרנט,#REF!,1080p60
אוזניות בלוטוס,,Over-Ear-xa0
@able,HDMI 2.e,Brdd
מאוס,אפל Magic Mousee,0
כבל,HDDMI 2.1,50
רוטר,TP-Link 1rcher,???
טלפון נייד,Pxl 8,Unnlocked
עכבר,אל ג'יtch MX Mstr 3,Ergonomic-9c0
מוניטורר,sam,4K
מסך גיימינג6_Monitor,אל ג'י uLTRAgEAR,oled
מקלדת גיימינג,רייייזר BlackWidow-ayc,z8z_Tactile
מחשב נייד,MacBook Pro 16,M3 Mx
Wbcm,Eעל ג'ייatoFacecam,4K
אוזניות,AirPodsMax,sTUDIO
מקלדת,*azer BlackWidow,RGB
Hdphns,,Over-Ear
,5y7_דל UltraSharp Monitor,144Hz
סמארטפון,Pixel 8-304,ltr
*ebcam,אל ג'יtch C920,4K-5bb
מכלדת,Crsr K70,lin
טלפון נייד,,  
כבלל,Displa7Port 1.4,Braided
מסך,סמסונג Oddyssey G9,4K
אוזניות,,NoiseCancelling
ראוטר,סיסקוmISR,v2
טלפון נייד,Samsunng Galaxy S24,Pr Mx
מחשב,Lnv ThnkPd X1,
עכבר,רייזר dEATHaDDER,Optical
Leenovo ThinkPad X1,lAPTOP,m3 mAX
אוזניות,AirPods  Max,ever-Ear
788_MacBook Pro 16,co,Laptfp
,SteelSeries Rival 3-890,oPTICAL Ms
Lgtch C920,Webccam,Studio-86a
כבל,USB-C to Lightning,
מקלדת,אלחוטי,רייזרBlackWidow
מקלדת,y5a_Corsair K70,rgb
מצלמת אינטרנט,b43_לוג'יטק C920,z84_Studio
מסך גיימינג,אזוס ROG Swiift,4k
מסך,אל ג'י ul,p44Hz
,???,vr-r headp
qebcam,Eאל ג'יatoFacecam,108
וובקם-0x7,,1080p60
Mbl Phn,611_סמסונג Galaxy S24,Ultra
מכלדת,KeychronQ1,wIRELESS
אוזניות,???,sTUDIO
Mbl Phn,ip,Unlockes
eS$M,SIMCard,5G
מסך,OLpD,דלUltraSharp
he,so,noi
טלפון נייד,Bose QuietCom$ort 45,a9b_Over-Ear
מסך,אל ג'י UltraGear,ultra
כרטיס SIM,eS2M,ve
מקלדת,&orsair K70,אלחוטי
עכבר,appl,ptcl
אוזניות,Snnhsr HD 600,Noise Canielling
Nano SIIM,SIM Card-5xx,Precaid
סמארטפון,AirPods Max-62x,סינון רעשים
,אל ג'י UltraG2ar,OLED
כרטיס סים,,5y
מצלמת אינטרנט,לוג'יטקC920,4K-5ax
לפטפ,MacBook Pro 16-012,OLED Touch
עכבר,Raazer DeathAdder,אלחוטי
מאוס,לוג'יטק M3 Master 3,Opticap
סמארטפון,Bose QuietComfo1t 45,nOISE cANCELLING
סים5_Micro SIM,SIMCard,Vrzn
nano,sim ,AT&T
del,Monitor,
טלפון נייד,???,אלחוטי
2able,EthernetCat6,x9y_Braided
Caable,DisplayPortf1.4,50ft
$aptop,OLED Touch,6b6_Lenovo ThinkPad X1
,דל UltraSharp,mONITOR
mou app,,wir
מחשב,דל XPS 15-0z9,m3 mAX
נייד32gb ram,,MacBook Pro 16-z3c
mou,ap,rgnmc
מצלמת אינטרנט,Eאל ג'יato Facecaam,1080p60
מכלדת,CorsairK70,
Ms,רייייזר DeathAdder,Wrd
wIRELESS,StlSrs Rvl 3,Mouse
מצלמת רשת-y48,אל ג'יtch C920,HDPro
2m,hdmi,Cable
אוזניות,senn,sTUDIO
Caable,35a_HDMI 2.1,2@
le,???,Laptop-c57
מכלדת57_Keyboard,#REF!,RGB
כרטיס סים,eSIM,
כבל,2m,HsMI 2.1
מצלמת אינטרנט,MicrosoftLifeCam,HD Pro
Cbl,SB-C t אל ג'יhtnng,50ft
סמ75y_eSIM,SM Crd,vERIZON
לפטופ,macb,32GB RAM
מחשב ניידד,lENOVO tHINKpAD x1,32gb
אוזניות,bo,sTUDIO
מסך,,4K
Mmnitor,דל uLTRAsHARP,4K
נייד,,no
עכבר,לוג'יטק MX Maqter 3,erg
כבל USB,EthernetCat6,2m-6y2
עכבר,רייזר DeathAdder,Optical
מחשב נייד,רייזר Blade 15-cac,M3 Maax
כבל,HDM 2.1,bl
מסך,סמסונגOdysseyG9,ltrwd
Cbl,hd,Blue
עכבר אלחוטי,StlSrs Rvl 3,eRGONOMIC
785_4K,Elאל ג'יato Facecam,qebcam
,דל XPS 1b,M3 5ax lapto
netge,Route9,l2
מקלדת,,hGB
lINEAR,Corsair K70-9y5,Keyboard
Mouitor,דל UltraSharp,
ראוטר,,ax55
מצלמת אינטרנט,Elbato Facecam,1080p600
  ,Mcrsft LfCm,1080p6d
סימ,Nano SIM-943,
,Corrsair K70,tACTILE Kekboard
טלפון נייד,iPhone 15,Pr Mx
mou,לוג'יטק MX Master^3,
טלפון נייד,סמסונגGalaxyS24,U2locked
ראוטר,TP-Link7Archer,Ak55
unknown,סמסונג Galaxy S24,Unlocked
כבל,eTHERNET cAT6,blue
וובקם,mi,HD Pr
ro,TP-Link Archer,AX5p
oPTICAL,5z6_Mouse,
וובקם,רייייזר,HDPro
  ,rver-Ear,Soqy WH-1000XM5
Mouuse,,Ergonomiic
OLqD,,אזוס rog sWIFT
מקלדת,Keychron Q1-2z4,Tacsile
מצלמת אינטרנט,Michosoft LifeCam,Studio
כבל,DisplayPort1.4,bRAIDED
Hdphns,סוניWH-1000XM5,סינון רעשיםg
Rohter,,xcc_AX55
ראוטר,4331/l9,סיסקוISR
כרטיס SIM,---,Przpaid
Cbl,usb-c TO lIGHTNING,&m
כרטיס סים,AT&T,sim 
כבל,ether,50ft
לפטופפ-z23,Lenovo ThinkPad X1-9x3,Corei9
מקלדת,רייזר bLACKwIDOW,tACTILE
מוביל,Pixe! 8,pRO mAX
מצלמת אינטרנט,---,sTUDIO
כבל,SB-C t אל ג'יhtnng,BBraided
מחשב נייד,,דל xps 15
---,Pihel 8,Prc Max
mICROSOFT lIFEcAM,1080p60,web
מצלמת אינטרנט,לוג'יטק C920,Std
מצלמת אינטרנט,Eאל ג'יato Facecam,1080p60
Hdphns,airpo,Ovver-Ear
Mbuse,wi,לוג'יטק MX Master 3
ol,Monitor,0
מקלדת,ke,tACTILE
,senn,Studio
youter,TP-Link Archer,4331/K9
אזניות1es,SennheiserHD600,---
מוניטורר,סמסונגOdysseyG9,
טלפון נייד,6cy_סמסונג Galaxy S24,Pr Mx
,לוג'ייתק C9f0 Weebcam,sTUDIO
עכבר,sTEELsERIES rIVAL 3,Wirelesn
סמסונג Odyssey G9,Monitor,144Hz
אוזניות,סוני WH-1000XM5,
מקלדת גיימינג,ke,עלחותיי
AXe5,Nstgear Nighthawk,unknown
מחשב נייד,unknown,x5b_OLED Touch
mo,iPhone15,Pro Max
מכלדת,Corsayr K70,RGB
ראוטרר,TP@Link Archer,V2
טלפון נייד,4b4_Sennheiser HD 600,Over-Ear
נייד,,128oB iP8one 15
נייד,LenovoThinkPadX1,cor
cab,HDMI 2.1,Blue
טלפון נייד,pIXEL 8,038_Unlocked
מחשב נייד,דלXPS15 Core ik,
Mbl Phn,samsu,Unlocked
עכבר,לוג'יטק MX Master 3,ptcl
Kybrd,KeychronQ1,RGB
מקלדת,raze,aactile
טלפון נייד,iPhone15,Ultra
עכבר,StlSrs Rvl 3,wi
AirPods Maxx,,Overr-Ear
לפטופפ-cx5,Rzr Bld 15,72GB RAM
,oNEpLUS 12 Mobile Phoqe,Pro Mkx
מצלמת אינטרנט,Eאל ג'יato Facecam,3tudio
כבל,HDMI 2.1,bLUE
Moouse,לוג'יטק MX Maste4 3,wire
mo,Lhgitech MX Master 3,Optical
,MacBook Pro 16,OLEDTouch
Mbl Phn,pixe,128gb
רוטר-c71,b13_R7000,tp
מסך גיימינג,דל uLTRAsHARP,144Hz
0,senn,Ns Cncllng
Ethernet Cat6,2M,C9ble
רוטר,Netgear Nighthawk-761,4331/K9
Vrzn,SIM Cardd,Nano SIM
סלולרי15,#REF!,Mobile Phone-798
unknown,iPhone15,128gb
אוזניות קשת,Sennheiser HDD 600,@ireless
סימ,sim,Prfpaid
cors,0b5_Keyboard,Wrlss
טלפון נייד,,pro m
7eyboard,לוג'יטק MX Keys,Tactilee
oled,דל XPS 15-102,
וובקם-z3x,אל ג'יtch C920,1080p60
0,אפל Magic Mouse-4ca,Ergoonomic
Wirdless,hazer BlackWidow,Keybo*rd
אוזניות,,70a_אלחוטי
וובקאם,לוג'יטק e920,
מסך,סמסונגOdysseyG9,4k
סימ,Esim,Verizon
EthernetCat6,cABLE,BBlue
,לוג'יטק MX Master 3-2y2,Wir*less
---,לוג'ייתקC920,W8bcam
cab,DisplayPort1.4,2m
מצלמת אינטרנט,Mcrsft LfCm,unknown
אזניות708_Headphones,סוניי WH-1000XXM5,vr-r
c40_50ft,cable,HDMI 2.i
עכבר,רייזר dEATHaDDER,אלחוטי
כבל,,
רייזר BlackWieow,Keyboard,Linear
ראוטרר-xzz,,R7000
ראוטרר,סייסקו ISR,v2
מסך גיימינג2tor,ASSUS ROG Swift,1444Hz
כרטיס סים,Nanno SIM,
מסך,אל ג'י UltraGear,jLED
מסך,אזוס rog sWIFT,144Hz
,אל ג'יtch MX Mstr 3,5ired Mouse
כבל USB,USB-C to Lightning,bRAIDED
Kybrd,Corsairr K70,Lineaar
סימ,etIM,Prgpaid
,R70j0,nETGEAR nIGHTHAWK Rou5er
אוזניות,סוניWH-1000XM5,01x_Studio
מסך,asu,#REF!
50FT,cABLE,ether
מקלדת,רייזר BlackWidow-4x2,???
Ms,Rzr Dthddr,wIRED
מקלדת,Cobsair K70,%GB
אוזניות,Sennheiser HD 600,xc2_סינון רעשים
מצלמת אינטרנט,לוג'יטק c920,HD zro
raze,Corre i9,Lptp
cab,hdmi 2.1,Blue
Cablk,%0ft,HDMI 221
מקלדת,  ,Tactile
מוניטורר,de,OLED-149
Tactile,keyb,רייזרBlackWidow
#REF!,דלXPS15,32GGB RAM
מסך גיימינג,סמסונג oDYSSEY g9,8y5_OLED
ראוטר,Cissco ISR,4331/K2
וובקם-673,043_Eעל ג'ייato Facecam,axy_Studio
וובקאם-a6c,לוג'ייתק C920,Std
aIRpODS mAX,Studio,hEADPHONES
עזוסROGSwift,mon bK,
  ,2m,cABLE
ke,Corszir K70,rg
סלולרי,Pixel8,Pr Mx
מחשב נייד,Lenovo ThinkPad X1,
מסך,סמסונג Odyssey Gj,LD
מצלמת אינטרנט,eאל ג'יa,4k
OLE7,אזוס ROG SSwift,Monnitor
כרטיס סים,N@no SIM,Prepaud
מקלדת אלחוטית,לוג'יטק mx kEYS,RGBB
אוזניות,sENNHEISER hd 600,אלחוטי
,TP-Link Ar%her Rtr,???
כבל USB,DisplaayPort 1.4,Brqided
Dell XPS 15,OLED Touch,lAPTOP
מסך,sa,4K-173
מסך,אזוס ROG Swift,4K
ראוטר,NetgearNighthawk,R70000
נתב,TP-LinkArcher,4331/KK9
Wir@d,Mous^,Rzr Dthddr
,lENOVO tHINKpAD x1,32GB$RAM
ראוטר,c5b_Netgear Nighthawk,r7
%onitor,Dll ltrShrp,OLED
sTUDIO,Mcrsft LfCm,
M6nitor,144Hz,דל UltraSharp-7ax
אזניות,Bose QuietComfort 45,
הדפונס,סוניי WH-1000XM5-76z,b30_Studio
TP-Lnk rchr,Router-6cb,r7000
טלפון נייד,onep,128GGB
nano,AT&T,21y_SIM Card
,c6x_eSIM sim cARD,veri
43331/K9,TP-Link9Archer,Router
מקלדת,x97_Keychron Q1,tac
Mo3se,לוג'יטק MX Master 3,oPTICAL
lebcam,Microssoft LifeCam,Studio
כבל,EthernetCat6,50ft
מצלמת אינטרנט,mICROSOFT lIFEcAM Scudio,
HDgI 2.1,550ft,Cbl
מסך,,oled סמסונג Odyssey G9
Mntr,אל ג'י ltrGr,uLTRAWIDE
מחשב נייד,5c2_Lenovo ThinkPad X1,Corei9
מכלדת,128_לוג'יטק MX Keys,RGB
ראוטר,Netgear Nighthawk-323,v2
מצלמת רשת,רייייזר kIYO,Studio-4yz
Cabl!,usb-,bLUE
טלפון נייד,34b_Pixel 8,1h8GB
אוזניות בלוטוס,סוניWH-1000XM5,אלחוטי
רוטר,Netgear Nighthawk,  
מצלמת רשת,,sTUDIO
רוטר,nETGEAR nIGHTHAWK,v22
טלפון נייד,סמסונג Galaxy^S24,1228GB
סמ,,5G-9xy
R^uter,4331bK9,---
wIRELESS,unknown,air
רוטר8c3_Router,Ntgr Nghthwk,X55
אוזניות קשת,AirPodsMax oVER-eAR,
טלפון נייד,iPhone 115,unloc
